ステージ名,出現敵種類数,敵の名前,同名条件種類数,初期生成数,初期生成間隔,初期遅延フレーム,生成間隔,ボス生成フラグ,タイム更新タイプ,更新で増えるフレーム,条件タイプ,条件情報,情報群数,情報群,,,,,,
練習,1,Normal,1,1,0,0,300,0,0,1,0,0,,,,,,,,
サークル,2,MoveWall,1,1,0,0,0,0,0,1,0,2,,,,,,,,
,,Normal,1,4,10,0,600,,,,,,,,,,,,,
巨壁,3,MoveWall,1,1,0,0,0,0,0,1,0,5,,,,,,,,
,,Normal,2,2,0,180,600,,,,,,,,,,,,,
,,,,0,0,300,600,,,,,,,,,,,,,
,,Large,1,1,0,0,600,,,,,,,,,,,,,
近接遭遇,2,MoveWall,1,1,0,0,0,0,0,1,0,10,,,,,,,,
,,Dash,1,2,0,0,330,,,,,,,,,,,,,
切断,4,MoveWall,1,1,0,0,0,0,0,1,1,4,,,,,,,,
,,Normal,1,1,0,0,600,,,,,,,,,,,,,
,,Large,1,1,0,300,600,,,,,,,,,,,,,
,,Dash,1,1,0,0,900,,,,,,,,,,,,,
ランナー,2,MoveWall,1,1,0,0,0,0,0,1,0,10,,,,,,,,
,,Large,1,5,0,0,180,,,,,,,,,,,,,
発生,3,MoveWall,1,1,0,0,0,0,0,1,0,5,,,,,,,,
,,Normal,2,2,0,180,960,,,,,,,,,,,,,
,,,,0,0,360,960,,,,,,,,,,,,,
,,Create,1,1,0,0,780,,,,,,,,,,,,,
分離,2,MoveWall,1,1,0,0,0,0,0,1,0,10,,,,,,,,
,,Division,1,3,0,240,600,,,,,,,,,,,,,
Reaper,1,MoveWall,1,1,0,0,0,1,1,15,2,60,7,サークル,巨壁,近接遭遇,切断,ランナー,発生,分離
要警戒,5,MoveWall,1,1,0,0,0,0,0,1,1,11,,,,,,,,
,,Large,1,3,0,0,240,,,,,,,,,,,,,
,,Dash,1,2,40,0,390,,,,,,,,,,,,,
,,Create,1,4,0,0,720,,,,,,,,,,,,,
,,Division,1,0,0,-360,480,,,,,,,,,,,,,
